coin,target,step,auc,acc
btc,bin_h1_thr2,1,0.5272391037745032,0.7469879518072289
btc,bin_h1_thr2,2,0.5455414106371093,0.8037383177570093
btc,bin_h1_thr2,3,0.5359258259069224,0.8010033444816054
btc,bin_h1_thr3,1,0.5541763544088603,0.8719879518072289
btc,bin_h1_thr3,2,0.5346466910463608,0.8951194184839044
btc,bin_h1_thr3,3,0.5791023235676144,0.8913043478260869
btc,bin_h3_thr2,1,0.4742236986335757,0.5534638554216867
btc,bin_h3_thr2,2,0.5575082706296115,0.6978193146417445
btc,bin_h3_thr2,3,0.5530196262657898,0.6755852842809364
btc,bin_h3_thr3,1,0.4759796095284955,0.615210843373494
btc,bin_h3_thr3,2,0.5291017214397495,0.7632398753894081
btc,bin_h3_thr3,3,0.5596254852706096,0.7391304347826086
btc,bin_h5_thr2,1,0.5026057890299158,0.5323795180722891
btc,bin_h5_thr2,2,0.5380147287625765,0.6334371754932503
btc,bin_h5_thr2,3,0.5514663599769983,0.6237458193979933
btc,bin_h5_thr3,1,0.4919930045470444,0.5316265060240963
btc,bin_h5_thr3,2,0.5527853282094541,0.6967808930425753
btc,bin_h5_thr3,3,0.5551727737759683,0.6739130434782609
eth,bin_h1_thr2,1,0.544041683799342,0.6799698795180723
eth,bin_h1_thr2,2,0.5816646986408058,0.7528556593977155
eth,bin_h1_thr2,3,0.5634834834834834,0.7190635451505016
eth,bin_h1_thr3,1,0.5448006057546694,0.733433734939759
eth,bin_h1_thr3,2,0.6083571890294579,0.8494288681204569
eth,bin_h1_thr3,3,0.6091800356506238,0.8444816053511706
eth,bin_h3_thr2,1,0.5194298328602964,0.5489457831325302
eth,bin_h3_thr2,2,0.5598183586790073,0.6240913811007269
eth,bin_h3_thr2,3,0.5583734411944742,0.5719063545150501
eth,bin_h3_thr3,1,0.5216931938243413,0.6272590361445783
eth,bin_h3_thr3,2,0.5921066892096934,0.6895119418483905
eth,bin_h3_thr3,3,0.5359645984869562,0.6287625418060201
eth,bin_h5_thr2,1,0.44581884676924555,0.4036144578313253
eth,bin_h5_thr2,2,0.5481515984430629,0.5503634475597092
eth,bin_h5_thr2,3,0.5010599208592426,0.48494983277591974
eth,bin_h5_thr3,1,0.45822994210090984,0.48569277108433734
eth,bin_h5_thr3,2,0.530507572944164,0.6074766355140186
eth,bin_h5_thr3,3,0.45643570655977606,0.580267558528428
