coin,auc,acc,prec,rec,f1,tn,fp,fn,tp
btc,0.555090797796368,0.6595744680851063,0.37037037037037035,0.05917159763313609,0.10204081632653061,331,17,159,10
eth,0.5525179149896927,0.5764023210831721,0.3953488372093023,0.37158469945355194,0.38309859154929576,230,104,115,68
