coin,target,auc,acc,prec,rec,f1,tn,fp,fn,tp,n_test
btc,bin_h3_thr2,0.555,0.676,0.414,0.066,0.114,379,17,170,12,578
eth,bin_h3_thr2,0.566,0.574,0.416,0.424,0.42,243,125,121,89,578
