Date,Open,High,Low,Close,Volume,avg_sentiment,news_count,MA7,MA30,RSI14,MACD_diff,ATR14,BB_UP,BB_LO,BB_WIDTH,lag_1_Close,lag_3_Close,lag_7_Close,lag_1_avg_sentiment,lag_3_avg_sentiment,ROC10,VOL14,sent_mean_3d,sent_mean_7d,dayofweek,lag_ret_1d,lag_ret_2d,target_price,target_dir,ret1,strong_dir
2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,8637859840,0.0,1,11202.843052455357,13181.0400390625,40.13709060034266,-74.0916801998527,1165.06494140625,14450.867575260694,9531.012600520557,4919.854974740138,11296.400390625,11440.7001953125,10868.400390625,0.3612,0.3612,-0.2165173304031613,0.05755290253904,0.2408,0.3096,1,-0.0415651580377807,0.0302079071625878,10221.099609375,1,0.011295200421318582,1
2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,8041160192,0.0,1,11040.22865513393,13066.503352864584,42.91738001396049,-90.1627641121354,1045.669921875,14318.165125293775,9345.245030956225,4972.9200943375545,10106.2998046875,11786.2998046875,11359.400390625,0.0,0.3612,-0.1188782895351618,0.0574910527737749,0.1204,0.258,2,-0.1053521958132058,-0.0415651580377807,9170.5400390625,0,-0.10845799638872773,0
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9959400448,0.0,1,10741.820033482143,12872.784700520831,34.82847246163277,-155.57563539712828,1067.9356166294642,14132.400115650991,9050.004083567756,5082.396032083234,10221.099609375,11296.400390625,11259.400390625,0.0,0.3612,-0.161082778842558,0.0622936040460121,0.0,0.2063999999999999,3,0.0113592320538773,-0.1053521958132058,8830.75,0,-0.03775622775012468,0
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,12726899712,0.3818,1,10407.44140625,12660.443033854166,32.204719855879816,-202.77169295572529,1107.460588727679,13789.78490285008,8839.67427683742,4950.110626012658,9170.5400390625,10106.2998046875,11171.400390625,0.0,0.0,-0.1874839274768218,0.062111093963128,0.1272666666666666,0.2093428571428571,4,-0.1027834196380305,0.0113592320538773,9174.91015625,1,0.03823265293714762,1
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,7263790080,0.3818,0,10083.757114955357,12446.300032552082,22.83130096794119,-191.9654479267168,1084.8549107142858,13450.506509964584,8719.243685347916,4731.262824616668,8830.75,10221.099609375,11440.7001953125,0.3818,0.0,-0.1923068259991853,0.052897651815762,0.2545333333333333,0.2122857142857142,5,-0.037052347802326,-0.1027834196380305,8277.009765625,0,-0.10299083790500331,0
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,7073549824,0.3818,0,9582.429966517857,12141.217024739582,24.250825857684305,-224.1988388832333,1062.901332310268,13122.456240373993,8493.014951032259,4629.441289341732,9174.91015625,9170.5400390625,11786.2998046875,0.3818,0.0,-0.2648800576879077,0.0525791579256237,0.3818,0.2152285714285714,6,0.0389729248648189,-0.037052347802326,6955.27001953125,0,-0.17398211533124852,0
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,9285289984,0.0,1,8962.268484933036,11788.826025390625,22.022130618488745,-308.25635523749725,1054.469866071429,13438.91165386424,7723.036539495135,5715.875114369104,8277.009765625,8830.75,11296.400390625,0.3818,0.3818,-0.3774039264255456,0.0637202621108876,0.2545333333333333,0.1636285714285714,0,-0.0978647611075892,0.0389729248648189,7754.0,1,0.10870919082663183,1
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,13999800320,0.0,0,8626.225655691964,11498.039371744791,30.14175237992289,-284.3637927524305,1094.079938616071,13515.429242676904,7303.058989744972,6212.370252931931,6955.27001953125,9174.91015625,10106.2998046875,0.0,0.3818,-0.3222442798407583,0.074462829988145,0.1272666666666666,0.1636285714285714,1,-0.1596880737755109,-0.0978647611075892,7621.2998046875,0,-0.017261906053983648,0
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,9169280000,0.0,0,8254.82568359375,11246.412711588542,25.02364646807635,-252.8562750205572,1123.4170619419642,13516.46303288142,6916.665140946704,6599.797891934716,7754.0,8277.009765625,10221.099609375,0.0,0.3818,-0.3533763835146589,0.0720147967259479,0.0,0.1636285714285714,2,0.1148380980502292,-0.1596880737755109,8265.58984375,1,0.08115416198669995,1
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,9346750464,-0.1902,2,8125.547084263393,11035.419026692707,31.35294494765415,-168.06551484410488,1138.357770647321,13391.008724944151,6707.938394196473,6683.07033074768,7621.2998046875,6955.27001953125,9170.5400390625,0.0,0.0,-0.2682987891780377,0.0777806075729948,-0.0634,0.1364571428571428,3,-0.0171137729317126,0.1148380980502292,8736.98046875,1,0.05546355066788704,1
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,6784820224,-0.1902,0,8112.151436941965,10827.541715494792,35.5282872990656,-64.97370370629596,1114.491350446429,12945.63177461041,6737.093371873965,6208.538402736445,8265.58984375,7754.0,8830.75,-0.1902,0.0,-0.1354916598953836,0.0803815873654539,-0.1268,0.0547428571428571,4,0.0845380782246918,-0.0171137729317126,8621.900390625,0,-0.013259122522587949,0
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,7780960256,-0.1902,0,8033.150041852678,10668.078401692708,32.930310723885384,6.9055065754648695,1128.875627790179,12726.427357278708,6658.477867330666,6067.949489948041,8736.98046875,7621.2998046875,9174.91015625,-0.1902,0.0,-0.1564605844642372,0.0796249309701549,-0.1902,-0.0269714285714285,5,0.0570304883149312,0.0845380782246918,8129.97021484375,0,-0.05874826338459948,0
2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,6122189824,-0.1902,0,8012.144391741072,10473.057421875,28.24408673610239,31.3878044632811,1135.3899623325892,12604.135462496266,6500.626744534983,6103.508717961283,8621.900390625,8265.58984375,8277.009765625,-0.1902,-0.1902,-0.1134687619034839,0.0790608708074557,-0.1902,-0.1086857142857142,6,-0.0131716075750212,0.0570304883149312,8926.5703125,1,0.09347499762512804,1
2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,6256439808,-0.1902,0,8293.758719308036,10291.93642578125,36.39556685054031,107.03868603664093,1146.786411830357,12453.847826855812,6456.73137236294,5997.116454492872,8129.97021484375,8736.98046875,6955.27001953125,-0.1902,-0.1902,0.010850755881437,0.0851321751157784,-0.1902,-0.1358571428571428,0,-0.057055887158723,-0.0131716075750212,8598.3095703125,0,-0.03746663522015054,0
