Date,Open,High,Low,Close,Volume,avg_sentiment,news_count,news_log1p,MA7,MA30,RSI14,MACD_diff,ATR14,BB_UP,BB_LO,BB_WIDTH,ROC10,VOL14,lag_1_Close,lag_3_Close,lag_7_Close,lag_1_avg_sentiment,lag_3_avg_sentiment,sent_mean_3d,sent_mean_7d,lag_ret_1d,lag_ret_2d,dayofweek,logret_h1,bin_h1_thr2,bin_h1_thr3,logret_h3,bin_h3_thr2,bin_h3_thr3,logret_h5,bin_h5_thr2,bin_h5_thr3
2018-01-30,1184.1300048828125,1184.6300048828125,1058.969970703125,1071.1300048828125,4107859968,0.0,0,0.0,1110.9357212611608,1103.1572021484376,51.10220821211427,-6.140825279727174,124.91543579101562,1377.3040360509199,882.4288741053301,494.87516194558975,-0.0727351579928921,0.0678458851655045,1182.3599853515625,1107.0699462890625,986.22900390625,0.0,0.0,0.0,0.0516,-0.05243402510166195,0.11822961667606524,1,0.04310449900718177,1,1,-0.15668785788451753,0,0,-0.24941862734617232,0,0
2018-01-31,1071.0899658203125,1128.6600341796875,1034.5,1118.31005859375,3757560064,0.0,0,0.0,1119.4400111607142,1114.6795043945312,56.5128547246656,-6.091160930210272,109.54772513253349,1375.2339727722924,880.8369378722387,494.39703490005377,0.0654834366287016,0.06757943278950825,1071.1300048828125,1246.010009765625,1058.780029296875,0.0,0.0,0.0,0.0,-0.09879825820701793,-0.05243402510166195,2,-0.07568923036724218,0,0,-0.14846296331422768,0,0,-0.47142506489889063,0,0
2018-02-01,1119.3699951171875,1161.3499755859375,984.8189697265624,1036.7900390625,5261680128,0.0,0,0.0,1116.691441127232,1119.757706705729,50.029707966001226,-11.270724880764156,112.68914794921875,1356.7044916899006,875.7254277436931,480.9790639462075,0.03342107626188362,0.07087081097406413,1118.31005859375,1182.3599853515625,1056.030029296875,0.0,0.0,0.0,0.0,0.04310449900718183,-0.09879825820701793,3,-0.1241031265244571,0,0,-0.21683389598611189,0,0,-0.267907650513318,0,0
2018-02-02,1035.77001953125,1035.77001953125,757.97998046875,915.7849731445312,6713290240,0.3818,1,0.6931471805599453,1096.779288155692,1118.1932067871094,43.68623754391665,-21.95050167599981,126.21058436802456,1309.7409700352289,874.6254423182866,435.1155277169423,-0.07142766079957541,0.07768209356042603,1036.7900390625,1071.1300048828125,1055.1700439453125,0.0,0.0,0.12726666666666667,0.054542857142857136,-0.07568923036724229,0.04310449900718183,4,0.051329393577471516,1,1,-0.2716327080071913,0,0,-0.19032852299856926,0,0
2018-02-03,919.2109985351562,991.9429931640624,847.6900024414062,964.0189819335938,3243480064,0.3818,0,0.0,1076.3434361049108,1117.6297729492187,39.48374669172799,-24.667381770435803,127.37079729352679,1254.2784656674398,889.8128429263102,364.46562274112966,-0.08950022170914118,0.07220160126472193,915.7849731445312,1118.31005859375,1107.0699462890625,0.3818,0.0,0.25453333333333333,0.10908571428571427,-0.12410312652445743,-0.07568923036724229,5,-0.14406016303912625,0,0,-0.1951339175663325,0,0,-0.16448460941638207,0,0
2018-02-04,964.6669921875,969.031982421875,805.0640258789062,834.6820068359375,2997090048,0.0,1,0.6931471805599453,1017.582292829241,1112.195174153646,38.47742131081831,-33.526792536474495,129.49850463867188,1229.992002776453,868.3755021063596,361.6165006700935,-0.2096039092830677,0.07665943910501473,964.0189819335938,1036.7900390625,1246.010009765625,0.3818,0.0,0.25453333333333333,0.10908571428571427,0.051329393577471905,-0.12410312652445743,6,-0.17890193854553665,0,0,-0.09759775353691448,0,0,0.05725350281458842,1,1
2018-02-05,834.9580078125,856.64599609375,644.5989990234375,697.9509887695312,4269530112,0.0,0,0.0,948.3810076032366,1100.7375386555989,35.076580713263226,-46.16725378151137,133.33336530412947,1270.826763588967,791.9668460301737,478.8599175587933,-0.33854169498607867,0.0863970873569471,834.6820068359375,915.7849731445312,1182.3599853515625,0.0,0.3818,0.12726666666666667,0.10908571428571427,-0.14406016303912583,0.051329393577471905,0,0.12782818401833046,1,1,0.15847749216828083,1,1,0.20926592182157033,1,1
2018-02-06,707.7369995117188,796.4390258789062,574.4190063476562,793.1220092773438,6518269952,0.0,0,0.0,908.6655796595982,1088.7359375,41.23085277276246,-45.61029950342363,141.856937953404,1282.4524084010425,758.2284021458324,524.22400625521,-0.28358455404203076,0.09624247525229232,697.9509887695312,964.0189819335938,1071.1300048828125,0.0,0.3818,0.0,0.10908571428571427,-0.17890193854553704,-0.14406016303912583,1,-0.046523999009708265,0,0,0.1083272573417947,1,1,0.026793747665753802,1,0
2018-02-07,790.427978515625,851.2000122070312,723.4329833984375,757.0679931640625,3896179968,0.0,0,0.0,857.0595703125,1075.6872029622396,35.8292895005133,-45.08117748841001,144.08087158203125,1293.4697980420335,719.2898088915601,574.1799891504734,-0.39240617071249106,0.09340744461927344,793.1220092773438,834.6820068359375,1118.31005859375,0.0,0.0,0.0,0.10908571428571427,0.1278281840183304,-0.17890193854553704,2,0.07717330715965874,1,1,0.12796173681294823,1,1,0.1375527963212405,1,1
2018-02-08,755.843017578125,845.0859985351562,755.843017578125,817.8070068359375,3708189952,-0.3804,1,0.6931471805599453,825.7762799944196,1059.6227701822916,39.38921299934678,-38.317383489847785,145.4610813685826,1293.9219973186232,696.7083127399706,597.2136845786526,-0.30832655285372246,0.0971139704995738,757.0679931640625,697.9509887695312,1036.7900390625,0.0,0.0,-0.1268,0.054742857142857135,-0.04652399900970838,0.1278281840183304,3,0.07767794919184422,1,1,-0.0038555604841965722,0,0,0.033015525196806415,1,1
